---------- Differential Evolution Biases ----------
Layer 1 - thick: -0.5879301449892864
Layer 1 - sld: 0.04999278346983349
Layer 2 - thick: 0.9115953445479263
Layer 2 - sld: 0.07757311970644043

---------- L-BFGS-B Biases ----------
Layer 1 - thick: -1.241117040507234
Layer 1 - sld: 0.04586520553929052
Layer 2 - thick: 1.5513942208352205
Layer 2 - sld: 0.07273029054914626
