---------- Differential Evolution Biases ----------
Layer 1 - thick: -0.010411231442517987
Layer 1 - sld: -0.002285722429463899
Layer 2 - thick: 0.010577344212862272
Layer 2 - sld: -0.001705379924286099

---------- L-BFGS-B Biases ----------
Layer 1 - thick: -0.0052529666271965425
Layer 1 - sld: -0.002115138972980546
Layer 2 - thick: 0.006551169650037991
Layer 2 - sld: -0.001814149388191133
