------------ Differential Evolution Biases ------------
Layer 1 - thick: -0.005042898395501538
Layer 1 - sld: -0.0010583663056604742
Layer 2 - thick: 0.005014604745298357
Layer 2 - sld: -0.001611899556291263

------------ L-BFGS-B Biases ------------
Layer 1 - thick: 0.0014039609165195088
Layer 1 - sld: -0.0005494633841722774
Layer 2 - thick: -0.0009438808433799295
Layer 2 - sld: -0.0014425962755071353

