---------- Fitting Biases ----------
Layer 1 - thick: 7.10400648966435
Layer 1 - sld: -1.047504562136414
Layer 2 - thick: 24.18939914218862
Layer 2 - sld: -0.7908148601025545
Layer 3 - thick: -43.80574280654108
Layer 3 - sld: -0.513255211089406
Layer 4 - thick: 8.541387625853964
Layer 4 - sld: -1.751336183369157
Layer 5 - thick: 62.71615687175142
Layer 5 - sld: -1.915664880397729
